Região Administrativa;População de 15 anos ou mais;Não alfabetizada;Taxa de Analfabetismo (%)
I Portuária;38083;2115;5.6
II Centro;29951;421;1.4
III Rio Comprido;66541;1464;2.2
IV Botafogo;189682;1630;0.9
IX Vila Isabel;137320;2214;1.6
V Copacabana;128192;1243;1
VI Lagoa;130249;1288;1
VII São Cristóvão;65523;2345;3.6
VIII Tijuca;140574;1846;1.3
XI Penha;113020;2314;2.1
XII Inhaúma;104297;2176;2.1
XIII Méier;303720;5359;1.8
XIV Irajá;161528;2580;1.6
XIX Santa Cruz;325185;11115;3.4
XV Madureira;257126;4713;1.8
XVI Jacarepaguá;553454;13241;2.4
XVII Bangu;329174;7875;2.4
XVIII Campo Grande;491405;11601;2.4
XX Ilha do Governador;155849;3438;2.2
X Ramos;110040;3235;2.9
XXI Paquetá;3021;78;2.6
XXII Anchieta;117734;2383;2
XXIII Santa Teresa;30964;794;2.6
XXIV Barra da Tijuca;342343;5702;1.7
XXIX Complexo do Alemão;42345;2696;6.4
XXV Pavuna;163933;5274;3.2
XXVI Guaratiba;140687;6133;4.4
XXVII Rocinha;56812;3505;6.2
XXVIII Jacarezinho;27798;1362;4.9
XXX Maré;97415;6186;6.4
XXXI Vigário Geral;87895;2460;2.8
XXXIII Realengo;187160;3993;2.1
XXXIV Cidade de Deus;23954;886;3.7
